Rectum Thalamus Interstitium Larynx Lips Lymphaticvessel Pharynx Spinalnerves Cranialnerves Cerebrum
BinaryNumber_0101000 BinaryNumber_0001100 BinaryNumber_0110110 BinaryNumber_1000000 BinaryNumber_1000000 BinaryNumber_0111111 BinaryNumber_0001010 BinaryNumber_0010010 BinaryNumber_0101100 BinaryNumber_0101010
BinaryNumber_0111110 BinaryNumber_0000010 BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_0010111 BinaryNumber_1010011 BinaryNumber_1000001 BinaryNumber_0100010 BinaryNumber_0011111 BinaryNumber_1000110
BinaryNumber_0011110 BinaryNumber_1010101 BinaryNumber_0011010 BinaryNumber_1011110 BinaryNumber_0011000 BinaryNumber_0011110 BinaryNumber_1010000 BinaryNumber_0101010 BinaryNumber_0010011 BinaryNumber_0000100
BinaryNumber_0111001 BinaryNumber_0011001 BinaryNumber_1011101 BinaryNumber_0100001 BinaryNumber_0110111 BinaryNumber_0100010 BinaryNumber_0110000 BinaryNumber_1100011 BinaryNumber_0101111 BinaryNumber_0110010
BinaryNumber_0110001 BinaryNumber_0111010 BinaryNumber_1010010 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_1001010 BinaryNumber_0000011 BinaryNumber_1011011 BinaryNumber_0011111 BinaryNumber_0011110
BinaryNumber_0000110 BinaryNumber_1000001 BinaryNumber_0101000 BinaryNumber_0111100 BinaryNumber_0101010 BinaryNumber_1010100 BinaryNumber_0010110 BinaryNumber_0111001 BinaryNumber_0111110 BinaryNumber_0011001
BinaryNumber_1010011 BinaryNumber_0011011 BinaryNumber_1001001 BinaryNumber_0101100 BinaryNumber_1001010 BinaryNumber_0010101 BinaryNumber_1010000 BinaryNumber_0111101 BinaryNumber_1010100 BinaryNumber_1001111
BinaryNumber_1010001 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_0001011 BinaryNumber_1010001 BinaryNumber_0001101 BinaryNumber_0000000 BinaryNumber_1011111 BinaryNumber_0000100 BinaryNumber_0101101
BinaryNumber_1000100 BinaryNumber_0000100 BinaryNumber_1000100 BinaryNumber_1001010 BinaryNumber_0111111 BinaryNumber_1010010 BinaryNumber_0001011 BinaryNumber_1100000 BinaryNumber_0000010 BinaryNumber_0010101
Pomelo Lemon Cranberry Loganberry Clementine Boysenberry Prune Açaí Bilberry Elderberry
Lychee Loganberry Loganberry Raisin Araza Nance Apple Marionberry Watermelon Pineberry
Jostaberry Apple Pawpaw Boysenberry Sapote Avocado Jostaberry Sapote Akebi Feijoa
Loganberry Lychee Cempedak Kiwifruit Soursop Pineapple Watermelon Pineapple Date Boysenberry
Kiwano Quince Kiwifruit Pear Cempedak Apple Peach Marionberry Canistel Strawberry
Kiwifruit Redcurrant Plum Redcurrant Honeyberry Huckleberry Mulberry Cranberry Strawberry Feijoa
Clementine Honeydew Cherry Raisin Guava Orange Longan Cashew Cashew Damson
Ackee Salmonberry Pomegranate Peach Huckleberry Canistel Cloudberry Watermelon Acerola Kiwano
Blackcurrant Pear Soursop Cempedak Plantain Soursop Orange Jambul Clementine Fig
Marionberry Plumcot Sapote Persimmon Plum Mangosteen Passionfruit Akebi Date Strawberry
Mandarine Tangerine Strawberry Yuzu Raisin Araza Mango Papaya Apricot Mulberry
