frail crowded elated dizzy gleaming average evil shiny aggressive perfect
temperature__40c temperature__147c temperature__10c temperature__92c temperature__69c temperature__12c temperature__90c temperature__78c temperature__141c temperature__21c
temperature__105c temperature__46c temperature__73c temperature__31c temperature__40c temperature__63c temperature__47c temperature__61c temperature__108c temperature__12c
temperature__92c temperature__3c temperature__63c temperature__59c temperature__7c temperature__131c temperature__0c temperature__26c temperature__61c temperature__4c
temperature__16c temperature__146c temperature__112c temperature__145c temperature__8c temperature__41c temperature__142c temperature__68c temperature__34c temperature__14c
temperature__21c temperature__21c temperature__111c temperature__79c temperature__3c temperature__47c temperature__33c temperature__22c temperature__144c temperature__131c
temperature__50c temperature__35c temperature__84c temperature__3c temperature__31c temperature__53c temperature__105c temperature__108c temperature__74c temperature__129c
temperature__31c temperature__53c temperature__46c temperature__10c temperature__14c temperature__92c temperature__90c temperature__106c temperature__47c temperature__14c
BinaryNumber_1001000 BinaryNumber_1010101 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_0000111 BinaryNumber_1100000 BinaryNumber_0001100 BinaryNumber_0100001 BinaryNumber_0011001 BinaryNumber_0000100
BinaryNumber_0110010 BinaryNumber_0000010 BinaryNumber_1000010 BinaryNumber_0011010 BinaryNumber_0011101 BinaryNumber_1001010 BinaryNumber_0100100 BinaryNumber_0001100 BinaryNumber_0000111 BinaryNumber_0111101
BinaryNumber_0101010 BinaryNumber_1010101 BinaryNumber_1011010 BinaryNumber_1010100 BinaryNumber_1100010 BinaryNumber_0101110 BinaryNumber_0100011 BinaryNumber_1011110 BinaryNumber_1001010 BinaryNumber_0101111
BinaryNumber_0101010 BinaryNumber_1001010 BinaryNumber_0011101 BinaryNumber_0100101 BinaryNumber_0001110 BinaryNumber_0011001 BinaryNumber_0110110 BinaryNumber_0000111 BinaryNumber_0001011 BinaryNumber_0101111
BinaryNumber_0001111 BinaryNumber_0010111 BinaryNumber_1001011 BinaryNumber_0001101 BinaryNumber_1000001 BinaryNumber_1010110 BinaryNumber_0101010 BinaryNumber_1000101 BinaryNumber_1000011 BinaryNumber_0101110
BinaryNumber_0010011 BinaryNumber_0111001 BinaryNumber_1000110 BinaryNumber_0111110 BinaryNumber_0001000 BinaryNumber_1011101 BinaryNumber_0010100 BinaryNumber_1000011 BinaryNumber_1000101 BinaryNumber_1100000
BinaryNumber_0000100 BinaryNumber_0011010 BinaryNumber_1001100 BinaryNumber_0110101 BinaryNumber_1001000 BinaryNumber_1010010 BinaryNumber_0010001 BinaryNumber_0101010 BinaryNumber_0011000 BinaryNumber_0100011
BinaryNumber_0000010 BinaryNumber_1001101 BinaryNumber_0010010 BinaryNumber_0011111 BinaryNumber_0101010 BinaryNumber_1000000 BinaryNumber_0110110 BinaryNumber_0000001 BinaryNumber_0010101 BinaryNumber_1001110
BinaryNumber_0101101 BinaryNumber_0101011 BinaryNumber_0000011 BinaryNumber_0111000 BinaryNumber_0000000 BinaryNumber_0011000 BinaryNumber_1001010 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0011010
BinaryNumber_1011101 BinaryNumber_1001011 BinaryNumber_0010011 BinaryNumber_0010100 BinaryNumber_1010111 BinaryNumber_0011010 BinaryNumber_0001110 BinaryNumber_1001111 BinaryNumber_0110011 BinaryNumber_1000010
BinaryNumber_0010001 BinaryNumber_0000001 BinaryNumber_1010101 BinaryNumber_0101110 BinaryNumber_0110010 BinaryNumber_0000110 BinaryNumber_1001101 BinaryNumber_1011101 BinaryNumber_0010101 BinaryNumber_1100011
PrimeNumber_157 PrimeNumber_113 PrimeNumber_127 PrimeNumber_509 PrimeNumber_13 PrimeNumber_199 PrimeNumber_509 PrimeNumber_199 PrimeNumber_2 PrimeNumber_59
PrimeNumber_59 PrimeNumber_317 PrimeNumber_47 PrimeNumber_229 PrimeNumber_347 PrimeNumber_101 PrimeNumber_503 PrimeNumber_271 PrimeNumber_281 PrimeNumber_389
PrimeNumber_331 PrimeNumber_83 PrimeNumber_283 PrimeNumber_47 PrimeNumber_139 PrimeNumber_283 PrimeNumber_17 PrimeNumber_79 PrimeNumber_5 PrimeNumber_103
PrimeNumber_337 PrimeNumber_487 PrimeNumber_127 PrimeNumber_223 PrimeNumber_251 PrimeNumber_53 PrimeNumber_491 PrimeNumber_127 PrimeNumber_409 PrimeNumber_283
PrimeNumber_499 PrimeNumber_167 PrimeNumber_71 PrimeNumber_157 PrimeNumber_409 PrimeNumber_47 PrimeNumber_53 PrimeNumber_2 PrimeNumber_71 PrimeNumber_109
PrimeNumber_193 PrimeNumber_131 PrimeNumber_29 PrimeNumber_233 PrimeNumber_157 PrimeNumber_503 PrimeNumber_197 PrimeNumber_389 PrimeNumber_379 PrimeNumber_463
PrimeNumber_401 PrimeNumber_397 PrimeNumber_43 PrimeNumber_229 PrimeNumber_163 PrimeNumber_41 PrimeNumber_113 PrimeNumber_257 PrimeNumber_31 PrimeNumber_127
PrimeNumber_19 PrimeNumber_491 PrimeNumber_113 PrimeNumber_71 PrimeNumber_467 PrimeNumber_157 PrimeNumber_443 PrimeNumber_479 PrimeNumber_263 PrimeNumber_521
PrimeNumber_331 PrimeNumber_61 PrimeNumber_67 PrimeNumber_353 PrimeNumber_463 PrimeNumber_211 PrimeNumber_311 PrimeNumber_347 PrimeNumber_251 PrimeNumber_499
PrimeNumber_173 PrimeNumber_353 PrimeNumber_163 PrimeNumber_47 PrimeNumber_3 PrimeNumber_163 PrimeNumber_269 PrimeNumber_23 PrimeNumber_263 PrimeNumber_157
PrimeNumber_13 PrimeNumber_181 PrimeNumber_5 PrimeNumber_73 PrimeNumber_349 PrimeNumber_197 PrimeNumber_313 PrimeNumber_113 PrimeNumber_223 PrimeNumber_457
