legal threats arrest robbery mob misdemeanour vandalism political human offense
PrimeNumber_29 PrimeNumber_337 PrimeNumber_467 PrimeNumber_173 PrimeNumber_127 PrimeNumber_47 PrimeNumber_367 PrimeNumber_7 PrimeNumber_347 PrimeNumber_23
PrimeNumber_137 PrimeNumber_547 PrimeNumber_3 PrimeNumber_251 PrimeNumber_167 PrimeNumber_397 PrimeNumber_419 PrimeNumber_41 PrimeNumber_353 PrimeNumber_127
PrimeNumber_331 PrimeNumber_19 PrimeNumber_271 PrimeNumber_43 PrimeNumber_179 PrimeNumber_439 PrimeNumber_353 PrimeNumber_263 PrimeNumber_347 PrimeNumber_109
PrimeNumber_313 PrimeNumber_149 PrimeNumber_97 PrimeNumber_163 PrimeNumber_59 PrimeNumber_509 PrimeNumber_397 PrimeNumber_151 PrimeNumber_223 PrimeNumber_61
PrimeNumber_229 PrimeNumber_47 PrimeNumber_467 PrimeNumber_131 PrimeNumber_179 PrimeNumber_349 PrimeNumber_419 PrimeNumber_263 PrimeNumber_193 PrimeNumber_487
PrimeNumber_31 PrimeNumber_83 PrimeNumber_479 PrimeNumber_131 PrimeNumber_13 PrimeNumber_541 PrimeNumber_313 PrimeNumber_509 PrimeNumber_233 PrimeNumber_193
PrimeNumber_331 PrimeNumber_199 PrimeNumber_313 PrimeNumber_67 PrimeNumber_163 PrimeNumber_541 PrimeNumber_107 PrimeNumber_23 PrimeNumber_353 PrimeNumber_19
PrimeNumber_83 PrimeNumber_173 PrimeNumber_29 PrimeNumber_173 PrimeNumber_223 PrimeNumber_311 PrimeNumber_307 PrimeNumber_367 PrimeNumber_491 PrimeNumber_439
CubeNumber_216 CubeNumber_4096 CubeNumber_438976 CubeNumber_262144 CubeNumber_493039 CubeNumber_140608 CubeNumber_5832 CubeNumber_373248 CubeNumber_175616 CubeNumber_592704
CubeNumber_205379 CubeNumber_493039 CubeNumber_117649 CubeNumber_1331 CubeNumber_274625 CubeNumber_27000 CubeNumber_17576 CubeNumber_658503 CubeNumber_512 CubeNumber_456533
CubeNumber_64000 CubeNumber_54872 CubeNumber_357911 CubeNumber_1000 CubeNumber_175616 CubeNumber_117649 CubeNumber_328509 CubeNumber_226981 CubeNumber_91125 CubeNumber_729
CubeNumber_373248 CubeNumber_50653 CubeNumber_8 CubeNumber_91125 CubeNumber_343 CubeNumber_3375 CubeNumber_24389 CubeNumber_97336 CubeNumber_64 CubeNumber_512
CubeNumber_389017 CubeNumber_195112 CubeNumber_46656 CubeNumber_8 CubeNumber_2197 CubeNumber_287496 CubeNumber_592704 CubeNumber_216 CubeNumber_13824 CubeNumber_474552
CubeNumber_2744 CubeNumber_5832 CubeNumber_636056 CubeNumber_912673 CubeNumber_343000 CubeNumber_357911 CubeNumber_12167 CubeNumber_300763 CubeNumber_912673 CubeNumber_857375
CubeNumber_343 CubeNumber_10648 CubeNumber_438976 CubeNumber_64000 CubeNumber_4096 CubeNumber_50653 CubeNumber_636056 CubeNumber_39304 CubeNumber_571787 CubeNumber_551368
CubeNumber_17576 CubeNumber_571787 CubeNumber_636056 CubeNumber_148877 CubeNumber_343 CubeNumber_941192 CubeNumber_658503 CubeNumber_262144 CubeNumber_681472 CubeNumber_148877
CubeNumber_830584 CubeNumber_85184 CubeNumber_438976 CubeNumber_19683 CubeNumber_140608 CubeNumber_704969 CubeNumber_421875 CubeNumber_39304 CubeNumber_456533 CubeNumber_226981
CubeNumber_103823 CubeNumber_110592 CubeNumber_68921 CubeNumber_216 CubeNumber_830584 CubeNumber_64 CubeNumber_117649 CubeNumber_185193 CubeNumber_12167 CubeNumber_343
CubeNumber_5832 CubeNumber_110592 CubeNumber_804357 CubeNumber_175616 CubeNumber_8 CubeNumber_551368 CubeNumber_27 CubeNumber_474552 CubeNumber_2744 CubeNumber_389017
GreenYellow Green PapayaWhip OrangeRed Olive Fuchsia SpringGreen DarkOliveGreen Firebrick LightGreen
LavenderBlush LightSteelBlue IndianRed ForestGreen DarkSeaGreen Wheat Orchid LightSlateGray AntiqueWhite PaleGreen
Azure LightSlateBlue Indigo SandyBrown Firebrick Moccasin Teal Feldspar ForestGreen LightGreen
SeaGreen Crimson PaleGoldenrod Turquoise MintCream LightSteelBlue Cornsilk Firebrick DarkOliveGreen DarkSeaGreen
Wheat MediumOrchid DarkSlateBlue Aquamarine Ivory LightCyan Tomato SeaGreen Lavender Brown
MediumSpringGreen Crimson Crimson OrangeRed Olive DarkFuchsia Beige BlueViolet Navy SlateGray
SkyBlue GreenYellow ForestGreen Orange Ivory DarkBlue MediumAquamarine PaleGreen Snow LimeGreen
LavenderBlush DarkViolet DarkOrange HotPink PaleVioletRed Feldspar LavenderBlush DarkGray LightSkyBlue Khaki
Thistle LightSlateBlue Green Firebrick Azure Goldenrod SpringGreen DarkGray DimGray Feldspar
DarkBlue Lime Violet OliveDrab LightYellow Salmon GreenYellow DimGray Ivory LightCyan
LightSalmon Honeydew Chocolate BlanchedAlmond MediumAquamarine Green DarkGreen SlateBlue MediumOrchid Snow
temperature__7c temperature__44c temperature__8c temperature__120c temperature__10c temperature__129c temperature__2c temperature__122c temperature__14c temperature__130c
temperature__87c temperature__3c temperature__63c temperature__87c temperature__49c temperature__116c temperature__111c temperature__82c temperature__21c temperature__41c
temperature__57c temperature__85c temperature__59c temperature__119c temperature__111c temperature__59c temperature__92c temperature__23c temperature__141c temperature__87c
temperature__49c temperature__69c temperature__30c temperature__120c temperature__86c temperature__57c temperature__49c temperature__84c temperature__41c temperature__130c
temperature__73c temperature__148c temperature__63c temperature__82c temperature__23c temperature__3c temperature__73c temperature__65c temperature__129c temperature__92c
temperature__77c temperature__90c temperature__69c temperature__82c temperature__148c temperature__23c temperature__98c temperature__109c temperature__78c temperature__46c
temperature__4c temperature__106c temperature__118c temperature__106c temperature__147c temperature__33c temperature__35c temperature__137c temperature__100c temperature__28c
temperature__42c temperature__141c temperature__105c temperature__92c temperature__40c temperature__53c temperature__12c temperature__26c temperature__47c temperature__124c
temperature__141c temperature__82c temperature__84c temperature__44c temperature__141c temperature__28c temperature__73c temperature__119c temperature__46c temperature__31c
temperature__23c temperature__16c temperature__22c temperature__61c temperature__57c temperature__41c temperature__123c temperature__16c temperature__85c temperature__7c
temperature__44c temperature__86c temperature__88c temperature__106c temperature__39c temperature__141c temperature__136c temperature__116c temperature__84c temperature__54c
BinaryNumber_0110101 BinaryNumber_0010010 BinaryNumber_0110100 BinaryNumber_0010011 BinaryNumber_1000100 BinaryNumber_0101001 BinaryNumber_0000001 BinaryNumber_0100110 BinaryNumber_1000011 BinaryNumber_0111000
BinaryNumber_0010010 BinaryNumber_1000001 BinaryNumber_0110000 BinaryNumber_0110000 BinaryNumber_0011010 BinaryNumber_0110001 BinaryNumber_0000010 BinaryNumber_1010000 BinaryNumber_0011001 BinaryNumber_1000001
BinaryNumber_0110000 BinaryNumber_0111101 BinaryNumber_0101010 BinaryNumber_0010111 BinaryNumber_0111000 BinaryNumber_1010100 BinaryNumber_1000100 BinaryNumber_0110111 BinaryNumber_0011010 BinaryNumber_0101010
BinaryNumber_1001000 BinaryNumber_1001111 BinaryNumber_0010101 BinaryNumber_0110010 BinaryNumber_0110000 BinaryNumber_0000010 BinaryNumber_0111001 BinaryNumber_0000100 BinaryNumber_0000110 BinaryNumber_0100000
BinaryNumber_0111010 BinaryNumber_1001001 BinaryNumber_0001110 BinaryNumber_0011001 BinaryNumber_0101000 BinaryNumber_0001111 BinaryNumber_0101010 BinaryNumber_1010001 BinaryNumber_0100111 BinaryNumber_1011010
BinaryNumber_0000001 BinaryNumber_0011011 BinaryNumber_0100001 BinaryNumber_0011100 BinaryNumber_0100110 BinaryNumber_1011001 BinaryNumber_1001110 BinaryNumber_1100001 BinaryNumber_0010010 BinaryNumber_1001100
BinaryNumber_1010111 BinaryNumber_0101101 BinaryNumber_0110111 BinaryNumber_0011000 BinaryNumber_1100010 BinaryNumber_1100010 BinaryNumber_0101010 BinaryNumber_0110110 BinaryNumber_1001100 BinaryNumber_1000000
BinaryNumber_1000011 BinaryNumber_0100000 BinaryNumber_1011000 BinaryNumber_0010011 BinaryNumber_0101111 BinaryNumber_0000001 BinaryNumber_0110100 BinaryNumber_0001101 BinaryNumber_0010111 BinaryNumber_0100110
BinaryNumber_0011110 BinaryNumber_0011000 BinaryNumber_1001111 BinaryNumber_1000000 BinaryNumber_0000001 BinaryNumber_1001111 BinaryNumber_0010101 BinaryNumber_1000110 BinaryNumber_0101011 BinaryNumber_1000111
BinaryNumber_1001000 BinaryNumber_0010001 BinaryNumber_0010100 BinaryNumber_0100011 BinaryNumber_1011111 BinaryNumber_0100010 BinaryNumber_1001000 BinaryNumber_1010100 BinaryNumber_0110110 BinaryNumber_0101100
BinaryNumber_1001010 BinaryNumber_0100000 BinaryNumber_1001011 BinaryNumber_0010000 BinaryNumber_0010111 BinaryNumber_1011011 BinaryNumber_1011100 BinaryNumber_0111001 BinaryNumber_0111001 BinaryNumber_1010100
