Pomegranate Soursop Papaya Kumquat Bilberry Kiwifruit Acerola Tayberry Feijoa Grape
supernatural drug offenses dark mafia snitching gangs mafia offenses victim
Khaki Yellow Thistle PaleVioletRed Gray PaleTurquoise NavajoWhite MistyRose MidnightBlue DeepSkyBlue
Honeydew Fuchsia LightSteelBlue MediumOrchid WhiteSmoke MediumBlue DodgerBlue MidnightBlue OldLace Salmon
LightCyan SteelBlue CadetBlue Silver Fuchsia SpringGreen Chartreuse Snow Chocolate AliceBlue
Thistle Turquoise DarkBlue Peru SeaGreen MistyRose LightPink Black Gold Orchid
AliceBlue Aquamarine OrangeRed DarkOrange MintCream Tan BlueViolet CornflowerBlue LightSteelBlue RoyalBlue
Sienna SaddleBrown PaleVioletRed LightSeaGreen Goldenrod Blue MediumTurquoise Khaki MediumSlateBlue LightBlue
GhostWhite Red SkyBlue LightYellow DarkOliveGreen OldLace LightGray DeepSkyBlue White GhostWhite
MintCream DarkFuchsia DodgerBlue Wheat Plum Moccasin Seashell DarkGray BlanchedAlmond DarkGray
DeepSkyBlue DarkBlue Yellow Seashell DarkSlateGray MediumTurquoise LightSteelBlue Yellow MediumAquamarine NavajoWhite
NavajoWhite DarkSlateBlue Peru DarkSeaGreen Chocolate MediumPurple Lavender Feldspar Feldspar SpringGreen
Fuchsia Blue DarkSalmon DarkTurquoise VioletRed Sienna MistyRose DarkKhaki Chartreuse Indigo
horrible motionless dangerous careful better disturbed tasty joyous victorious spotless
handsome dark perfect gentle gorgeous enthusiastic inquisitive tough bewildered hilarious
hungry silly grumpy hungry light puzzled lazy evil handsome exuberant
open wandering fragile delightful enthusiastic panicky dangerous nutty splendid frantic
difficult aggressive drab hurt uptight homely jolly old-fashioned muddy shy
thoughtful odd old-fashioned energetic clumsy powerful defiant confused dangerous clear
vast comfortable distinct difficult frantic comfortable ugliest clear important scary
filthy gorgeous adorable crowded unusual cheerful glorious sleepy brainy mysterious
charming eager homely stupid cruel frail helpful thoughtless adorable elated
awful proud kind handsome talented foolish lonely enchanting agreeable fair
alert doubtful blushing aggressive zany victorious shiny good strange tender
