MediumAquamarine PaleGreen SpringGreen CornflowerBlue Olive LightCoral DarkBlue LavenderBlush Cyan LightGoldenrodYellow
cooking sushi drinks animal beef soup fruits vegetables cheese eat milk
victuals drinks provender edible chicken cooking plant pasta restaurant rice
rice seafood meal cereal nutrient nutrient edible seafood plant plant
plant drinks animal milk edible seafood nutrition chicken vegetable provender
vegetable eat rice sushi nutrient nutrient victuals plant pasta nourishment
eat fruits vegetables meals edible drinks cheese fruit pasta meals plant
victuals meals soup fruits vegetables victuals fruits vegetables nutrition fruit eat plant
chicken drinks cooking pasta provender meal restaurant fruit plant restaurant
fruit chicken nutrient soup cheese seafood meat nutrient rice pasta
chicken sushi beef seafood milk meat cooking nourishment cereal plant
