digitalcommunication von neumann machine data microcomputer social proprietary electronics turingmachine tablet incompatible
analogcomputer computercircuit eniac android software social daw transistor supercomputer microprocessor
CubeNumber_19683 CubeNumber_32768 CubeNumber_74088 CubeNumber_512 CubeNumber_373248 CubeNumber_493039 CubeNumber_2197 CubeNumber_32768 CubeNumber_343 CubeNumber_3375
CubeNumber_64000 CubeNumber_175616 CubeNumber_13824 CubeNumber_551368 CubeNumber_512 CubeNumber_42875 CubeNumber_64000 CubeNumber_1331 CubeNumber_13824 CubeNumber_8
CubeNumber_50653 CubeNumber_729000 CubeNumber_68921 CubeNumber_357911 CubeNumber_300763 CubeNumber_5832 CubeNumber_238328 CubeNumber_6859 CubeNumber_35937 CubeNumber_343000
CubeNumber_216 CubeNumber_300763 CubeNumber_15625 CubeNumber_10648 CubeNumber_195112 CubeNumber_328509 CubeNumber_110592 CubeNumber_54872 CubeNumber_226981 CubeNumber_512
CubeNumber_97336 CubeNumber_328509 CubeNumber_592704 CubeNumber_658503 CubeNumber_19683 CubeNumber_389017 CubeNumber_4913 CubeNumber_2744 CubeNumber_50653 CubeNumber_373248
CubeNumber_195112 CubeNumber_941192 CubeNumber_343000 CubeNumber_85184 CubeNumber_24389 CubeNumber_85184 CubeNumber_27000 CubeNumber_9261 CubeNumber_884736 CubeNumber_250047
CubeNumber_59319 CubeNumber_512000 CubeNumber_17576 CubeNumber_68921 CubeNumber_300763 CubeNumber_205379 CubeNumber_343 CubeNumber_704969 CubeNumber_1331 CubeNumber_884736
CubeNumber_79507 CubeNumber_85184 CubeNumber_19683 CubeNumber_17576 CubeNumber_328509 CubeNumber_59319 CubeNumber_4913 CubeNumber_474552 CubeNumber_512000 CubeNumber_15625
temperature__148c temperature__136c temperature__148c temperature__73c temperature__10c temperature__148c temperature__4c temperature__111c temperature__118c temperature__147c
temperature__68c temperature__59c temperature__24c temperature__47c temperature__28c temperature__98c temperature__122c temperature__16c temperature__59c temperature__53c
temperature__57c temperature__27c temperature__90c temperature__95c temperature__74c temperature__2c temperature__33c temperature__136c temperature__31c temperature__139c
temperature__140c temperature__44c temperature__40c temperature__119c temperature__10c temperature__0c temperature__42c temperature__41c temperature__23c temperature__41c
temperature__108c temperature__77c temperature__106c temperature__108c temperature__42c temperature__91c temperature__87c temperature__86c temperature__77c temperature__24c
temperature__85c temperature__56c temperature__12c temperature__100c temperature__91c temperature__131c temperature__91c temperature__73c temperature__23c temperature__31c
temperature__123c temperature__24c temperature__0c temperature__93c temperature__11c temperature__144c temperature__35c temperature__70c temperature__95c temperature__51c
temperature__26c temperature__23c temperature__58c temperature__91c temperature__7c temperature__130c temperature__17c temperature__34c temperature__70c temperature__30c
temperature__118c temperature__7c temperature__122c temperature__84c temperature__0c temperature__36c temperature__57c temperature__91c temperature__139c temperature__74c
temperature__10c temperature__34c temperature__116c temperature__54c temperature__4c temperature__147c temperature__120c temperature__0c temperature__112c temperature__63c
temperature__131c temperature__47c temperature__34c temperature__105c temperature__120c temperature__82c temperature__46c temperature__118c temperature__71c temperature__44c
BinaryNumber_0010010 BinaryNumber_0100001 BinaryNumber_1011001 BinaryNumber_0001010 BinaryNumber_0100101 BinaryNumber_1011011 BinaryNumber_1010000 BinaryNumber_0100100 BinaryNumber_1010001 BinaryNumber_0001100
BinaryNumber_0101000 BinaryNumber_0101111 BinaryNumber_1100001 BinaryNumber_1000001 BinaryNumber_1010110 BinaryNumber_0111000 BinaryNumber_1011010 BinaryNumber_1001001 BinaryNumber_0000100 BinaryNumber_0000111
BinaryNumber_0101010 BinaryNumber_1011100 BinaryNumber_0000110 BinaryNumber_1100000 BinaryNumber_0000000 BinaryNumber_1000111 BinaryNumber_1001011 BinaryNumber_1010001 BinaryNumber_0001101 BinaryNumber_0110101
BinaryNumber_1010101 BinaryNumber_1000010 BinaryNumber_0110111 BinaryNumber_1010000 BinaryNumber_0010111 BinaryNumber_0101100 BinaryNumber_1000011 BinaryNumber_1001100 BinaryNumber_1000110 BinaryNumber_0001110
BinaryNumber_0111100 BinaryNumber_1011111 BinaryNumber_0011110 BinaryNumber_1010101 BinaryNumber_0110110 BinaryNumber_0101010 BinaryNumber_1100011 BinaryNumber_0111111 BinaryNumber_1010001 BinaryNumber_0110010
BinaryNumber_0100011 BinaryNumber_0110110 BinaryNumber_0110110 BinaryNumber_0000011 BinaryNumber_1001010 BinaryNumber_0010110 BinaryNumber_1000111 BinaryNumber_0010101 BinaryNumber_1100011 BinaryNumber_0111100
BinaryNumber_1001101 BinaryNumber_0001100 BinaryNumber_0001000 BinaryNumber_1001100 BinaryNumber_1011101 BinaryNumber_0100101 BinaryNumber_0001010 BinaryNumber_1001110 BinaryNumber_0100000 BinaryNumber_1100001
BinaryNumber_0111101 BinaryNumber_1100000 BinaryNumber_0110000 BinaryNumber_0000010 BinaryNumber_0111111 BinaryNumber_1100000 BinaryNumber_0101100 BinaryNumber_0111100 BinaryNumber_0000011 BinaryNumber_0010000
BinaryNumber_1001001 BinaryNumber_1000110 BinaryNumber_1100011 BinaryNumber_0010101 BinaryNumber_0110010 BinaryNumber_1100000 BinaryNumber_1001111 BinaryNumber_0100011 BinaryNumber_1001000 BinaryNumber_1011000
BinaryNumber_0001010 BinaryNumber_0110001 BinaryNumber_0001111 BinaryNumber_1011000 BinaryNumber_1000111 BinaryNumber_0010101 BinaryNumber_0101101 BinaryNumber_1100001 BinaryNumber_1100000 BinaryNumber_0011011
BinaryNumber_0101000 BinaryNumber_0010110 BinaryNumber_0101010 BinaryNumber_0100111 BinaryNumber_1011110 BinaryNumber_0100010 BinaryNumber_1000110 BinaryNumber_0110100 BinaryNumber_0101111 BinaryNumber_1001000
