Breadfruit Elderberry Cranberry Canistel Quince Apple Grape Grapefruit Tangelo Durian
SquareNumber_7225 SquareNumber_7396 SquareNumber_81 SquareNumber_9604 SquareNumber_169 SquareNumber_484 SquareNumber_6241 SquareNumber_6724 SquareNumber_256 SquareNumber_225
SquareNumber_8464 SquareNumber_4489 SquareNumber_5929 SquareNumber_25 SquareNumber_169 SquareNumber_3721 SquareNumber_256 SquareNumber_4225 SquareNumber_4 SquareNumber_256
SquareNumber_625 SquareNumber_256 SquareNumber_1521 SquareNumber_7921 SquareNumber_5929 SquareNumber_1764 SquareNumber_7396 SquareNumber_64 SquareNumber_576 SquareNumber_4096
SquareNumber_2809 SquareNumber_7921 SquareNumber_81 SquareNumber_7569 SquareNumber_529 SquareNumber_225 SquareNumber_3025 SquareNumber_441 SquareNumber_100 SquareNumber_8100
SquareNumber_1764 SquareNumber_3364 SquareNumber_6241 SquareNumber_289 SquareNumber_100 SquareNumber_169 SquareNumber_1296 SquareNumber_8100 SquareNumber_900 SquareNumber_1369
SquareNumber_5476 SquareNumber_1849 SquareNumber_5776 SquareNumber_3136 SquareNumber_900 SquareNumber_4900 SquareNumber_676 SquareNumber_9216 SquareNumber_144 SquareNumber_1681
SquareNumber_529 SquareNumber_676 SquareNumber_1849 SquareNumber_900 SquareNumber_2916 SquareNumber_5625 SquareNumber_225 SquareNumber_7921 SquareNumber_2704 SquareNumber_4624
SquareNumber_3025 SquareNumber_5329 SquareNumber_4761 SquareNumber_361 SquareNumber_1764 SquareNumber_2704 SquareNumber_3600 SquareNumber_2025 SquareNumber_1369 SquareNumber_676
11:52 15:56 18:13 17:18 15:35 11:30 15:29 22:13 23:38 21:50
16:31 18:51 19:14 15:27 17:46 18:28 21:45 15:42 23:21 21:17
15:34 16:50 18:25 21:58 15:50 12:59 14:32 14:11 20:49 19:50
15:28 10:38 12:34 20:19 20:42 15:26 23:42 18:12 14:17 18:24
18:36 11:40 13:54 23:29 10:50 10:15 22:19 10:54 12:42 20:29
18:53 14:32 14:39 22:38 22:29 20:34 11:19 12:46 21:54 12:40
17:21 12:39 22:51 16:52 11:11 13:53 13:54 22:53 22:13 16:53
13:26 17:41 16:59 12:21 17:10 21:34 20:18 14:41 17:26 20:21
14:15 19:20 22:51 18:10 13:42 17:29 19:47 23:59 13:30 11:19
15:39 10:53 19:27 20:53 20:51 16:33 12:10 13:10 18:21 16:18
17:59 20:44 21:14 13:31 22:49 13:25 17:55 13:23 18:23 18:42
CubeNumber_12167 CubeNumber_19683 CubeNumber_19683 CubeNumber_140608 CubeNumber_1331 CubeNumber_531441 CubeNumber_753571 CubeNumber_148877 CubeNumber_140608 CubeNumber_614125
CubeNumber_857375 CubeNumber_571787 CubeNumber_74088 CubeNumber_68921 CubeNumber_274625 CubeNumber_24389 CubeNumber_658503 CubeNumber_39304 CubeNumber_551368 CubeNumber_1728
CubeNumber_9261 CubeNumber_658503 CubeNumber_9261 CubeNumber_343 CubeNumber_42875 CubeNumber_314432 CubeNumber_125000 CubeNumber_405224 CubeNumber_941192 CubeNumber_373248
CubeNumber_405224 CubeNumber_636056 CubeNumber_110592 CubeNumber_343 CubeNumber_175616 CubeNumber_39304 CubeNumber_1000 CubeNumber_140608 CubeNumber_262144 CubeNumber_216000
CubeNumber_39304 CubeNumber_19683 CubeNumber_8000 CubeNumber_681472 CubeNumber_704969 CubeNumber_373248 CubeNumber_512 CubeNumber_27000 CubeNumber_140608 CubeNumber_373248
CubeNumber_79507 CubeNumber_512 CubeNumber_8 CubeNumber_216000 CubeNumber_804357 CubeNumber_9261 CubeNumber_778688 CubeNumber_512 CubeNumber_110592 CubeNumber_50653
CubeNumber_226981 CubeNumber_778688 CubeNumber_54872 CubeNumber_287496 CubeNumber_438976 CubeNumber_314432 CubeNumber_778688 CubeNumber_226981 CubeNumber_238328 CubeNumber_46656
CubeNumber_226981 CubeNumber_804357 CubeNumber_884736 CubeNumber_148877 CubeNumber_157464 CubeNumber_17576 CubeNumber_125000 CubeNumber_314432 CubeNumber_474552 CubeNumber_3375
CubeNumber_125000 CubeNumber_614125 CubeNumber_4096 CubeNumber_592704 CubeNumber_456533 CubeNumber_27 CubeNumber_1728 CubeNumber_148877 CubeNumber_42875 CubeNumber_636056
CubeNumber_2744 CubeNumber_226981 CubeNumber_117649 CubeNumber_10648 CubeNumber_15625 CubeNumber_551368 CubeNumber_39304 CubeNumber_636056 CubeNumber_3375 CubeNumber_3375
CubeNumber_10648 CubeNumber_125 CubeNumber_175616 CubeNumber_157464 CubeNumber_3375 CubeNumber_456533 CubeNumber_42875 CubeNumber_636056 CubeNumber_205379 CubeNumber_8000
BinaryNumber_1100011 BinaryNumber_0110011 BinaryNumber_1001000 BinaryNumber_0001000 BinaryNumber_1011100 BinaryNumber_0010100 BinaryNumber_1010110 BinaryNumber_1011101 BinaryNumber_1001111 BinaryNumber_0110101
BinaryNumber_0000101 BinaryNumber_0100100 BinaryNumber_0010001 BinaryNumber_0000100 BinaryNumber_1010111 BinaryNumber_1011110 BinaryNumber_1010101 BinaryNumber_1011010 BinaryNumber_1011111 BinaryNumber_0110111
BinaryNumber_1011110 BinaryNumber_0100100 BinaryNumber_0001010 BinaryNumber_0001001 BinaryNumber_0001011 BinaryNumber_0101100 BinaryNumber_0011100 BinaryNumber_0101101 BinaryNumber_0111110 BinaryNumber_0111001
BinaryNumber_0100010 BinaryNumber_0001101 BinaryNumber_0001010 BinaryNumber_1100000 BinaryNumber_0001010 BinaryNumber_1001111 BinaryNumber_0100001 BinaryNumber_0011001 BinaryNumber_0010110 BinaryNumber_0000101
BinaryNumber_0010010 BinaryNumber_0100001 BinaryNumber_0000100 BinaryNumber_1010001 BinaryNumber_0100000 BinaryNumber_0101101 BinaryNumber_1011001 BinaryNumber_0000111 BinaryNumber_0111100 BinaryNumber_0100110
BinaryNumber_0100001 BinaryNumber_1001101 BinaryNumber_0100111 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0100110 BinaryNumber_0100110 BinaryNumber_1100000 BinaryNumber_1011110 BinaryNumber_0101010
BinaryNumber_1010001 BinaryNumber_1010011 BinaryNumber_0010110 BinaryNumber_1000101 BinaryNumber_0111010 BinaryNumber_1001001 BinaryNumber_0111010 BinaryNumber_1001110 BinaryNumber_0000100 BinaryNumber_1000010
BinaryNumber_0000010 BinaryNumber_0010010 BinaryNumber_1010000 BinaryNumber_0000101 BinaryNumber_0110001 BinaryNumber_0110100 BinaryNumber_0010110 BinaryNumber_1000111 BinaryNumber_0001001 BinaryNumber_0100011
BinaryNumber_0011011 BinaryNumber_1010101 BinaryNumber_0010110 BinaryNumber_0011110 BinaryNumber_0101101 BinaryNumber_0101000 BinaryNumber_1000000 BinaryNumber_0010100 BinaryNumber_0001100 BinaryNumber_0000000
BinaryNumber_0101100 BinaryNumber_0101001 BinaryNumber_0011000 BinaryNumber_0101011 BinaryNumber_0011100 BinaryNumber_1000011 BinaryNumber_0110111 BinaryNumber_1001000 BinaryNumber_1011110 BinaryNumber_0000100
BinaryNumber_0100000 BinaryNumber_1010110 BinaryNumber_1011010 BinaryNumber_1000111 BinaryNumber_0000011 BinaryNumber_0100011 BinaryNumber_0000010 BinaryNumber_1010100 BinaryNumber_0100111 BinaryNumber_0001011
Maroon Linen IndianRed LightSlateBlue SkyBlue Bisque BlueViolet SteelBlue Thistle Brown
Olive Khaki GhostWhite Navy VioletRed DarkCyan PaleTurquoise Lime IndianRed Olive
Cornsilk LimeGreen Tomato LightBlue SkyBlue Snow Indigo Chocolate Blue Lime
FloralWhite DarkRed SeaGreen LimeGreen OrangeRed Goldenrod DarkCyan DarkSlateGray Wheat DarkViolet
Tan PaleTurquoise AliceBlue LightGoldenrodYellow LightSlateGray LightCyan Bisque DarkTurquoise DeepPink MediumSpringGreen
PaleVioletRed WhiteSmoke MediumVioletRed DarkRed SkyBlue DarkGoldenrod Violet DarkViolet MediumTurquoise DarkOliveGreen
DarkViolet FloralWhite HotPink DarkSalmon Sienna Salmon Gray LightPink PapayaWhip Goldenrod
Lime Red GhostWhite PeachPuff DarkViolet DimGray CornflowerBlue LightYellow DarkSlateGray Orchid
Teal Wheat CornflowerBlue Yellow AliceBlue PaleGoldenrod DarkViolet DarkSlateBlue Navy OliveDrab
LightBlue Lavender Silver OldLace MediumSlateBlue Purple PaleGoldenrod DarkBlue MediumBlue SandyBrown
DarkSlateGray SlateGray LightSalmon Indigo Ivory OldLace FloralWhite MediumPurple Yellow ForestGreen
console computerscience office turingmachine social machine abacus imac device digitalaudioplayer
computerprogram inputdevice computerscience laptop virtualreality astrolabe floppydisk information browser computercircuit
pc digital processor calculator tablet memory microprocessor computerhardware analogcomputer phone
machinecode phone spyware pc visualdisplayunit mobile computerscience laptop algorithm console
office antivirus machinecode router information laptopcomputer programmer analogcomputer peripheral server
astrolabe microcomputer abacus diskette antivirus monitor analogcomputer electronics server incompatible
programmer office downloader downloader processor pc eniac camera spyware software
sliderule inputdevice calculator transistor screen internet laptop electronics virtualreality cpu
visualdisplayunit hardware computercide machine computercircuit camera personalcomputer abacus memory centralprocessing unit
daw abacus calculator desktoppcs mainframe incompatible ibook computing von neumann machine digitalcommunication
computerhardware computation astrolabe digitalaudioplayer antivirus analogcomputer bit watch computerscience dataconverter
