breakable nasty victorious better funny clear putrid evil proud ugly
CubeNumber_571787 CubeNumber_884736 CubeNumber_68921 CubeNumber_15625 CubeNumber_658503 CubeNumber_79507 CubeNumber_405224 CubeNumber_389017 CubeNumber_729 CubeNumber_27000
CubeNumber_421875 CubeNumber_216000 CubeNumber_74088 CubeNumber_216 CubeNumber_357911 CubeNumber_17576 CubeNumber_103823 CubeNumber_185193 CubeNumber_614125 CubeNumber_166375
CubeNumber_287496 CubeNumber_300763 CubeNumber_195112 CubeNumber_512 CubeNumber_456533 CubeNumber_27000 CubeNumber_830584 CubeNumber_226981 CubeNumber_79507 CubeNumber_512000
CubeNumber_19683 CubeNumber_29791 CubeNumber_2197 CubeNumber_125000 CubeNumber_185193 CubeNumber_884736 CubeNumber_343 CubeNumber_357911 CubeNumber_857375 CubeNumber_19683
BinaryNumber_1001010 BinaryNumber_0001011 BinaryNumber_1011101 BinaryNumber_0001100 BinaryNumber_0010111 BinaryNumber_0100111 BinaryNumber_1011001 BinaryNumber_0001000 BinaryNumber_0110011 BinaryNumber_1010011
BinaryNumber_1010100 BinaryNumber_0100101 BinaryNumber_0110000 BinaryNumber_0010111 BinaryNumber_0110000 BinaryNumber_0001111 BinaryNumber_0001010 BinaryNumber_0001001 BinaryNumber_0000100 BinaryNumber_0110100
BinaryNumber_1000000 BinaryNumber_1001100 BinaryNumber_0011001 BinaryNumber_1010001 BinaryNumber_0111101 BinaryNumber_1000011 BinaryNumber_0101001 BinaryNumber_0010110 BinaryNumber_0011011 BinaryNumber_0111110
BinaryNumber_1011110 BinaryNumber_0011100 BinaryNumber_0000110 BinaryNumber_0001010 BinaryNumber_1001001 BinaryNumber_1001000 BinaryNumber_1000000 BinaryNumber_0001110 BinaryNumber_0001100 BinaryNumber_0001000
BinaryNumber_1000000 BinaryNumber_0010001 BinaryNumber_1010001 BinaryNumber_0000101 BinaryNumber_0000001 BinaryNumber_0001111 BinaryNumber_1000000 BinaryNumber_0011101 BinaryNumber_1001100 BinaryNumber_0110100
BinaryNumber_0011111 BinaryNumber_1001100 BinaryNumber_1001100 BinaryNumber_1010110 BinaryNumber_0011100 BinaryNumber_1001110 BinaryNumber_1010000 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0010111
BinaryNumber_0011011 BinaryNumber_0011111 BinaryNumber_0000011 BinaryNumber_0000001 BinaryNumber_0011100 BinaryNumber_0000110 BinaryNumber_0101001 BinaryNumber_0001001 BinaryNumber_1011100 BinaryNumber_0011011
BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_1000000 BinaryNumber_0000001 BinaryNumber_0011000 BinaryNumber_1001101 BinaryNumber_1000001 BinaryNumber_0001101 BinaryNumber_1000000 BinaryNumber_1011100
BinaryNumber_0100111 BinaryNumber_0111010 BinaryNumber_1011010 BinaryNumber_1001100 BinaryNumber_0101110 BinaryNumber_0101000 BinaryNumber_1010011 BinaryNumber_0101000 BinaryNumber_1011011 BinaryNumber_1011101
BinaryNumber_0001001 BinaryNumber_0001111 BinaryNumber_0110010 BinaryNumber_0111100 BinaryNumber_0001011 BinaryNumber_1100010 BinaryNumber_0000111 BinaryNumber_1010110 BinaryNumber_0010101 BinaryNumber_0001011
BinaryNumber_1100011 BinaryNumber_0111101 BinaryNumber_1001001 BinaryNumber_0010011 BinaryNumber_0111111 BinaryNumber_0111010 BinaryNumber_1000101 BinaryNumber_1000110 BinaryNumber_1001011 BinaryNumber_1010010
SquareNumber_9 SquareNumber_2401 SquareNumber_5476 SquareNumber_4096 SquareNumber_5929 SquareNumber_64 SquareNumber_6889 SquareNumber_5929 SquareNumber_676 SquareNumber_3481
SquareNumber_4900 SquareNumber_9216 SquareNumber_729 SquareNumber_576 SquareNumber_3481 SquareNumber_2304 SquareNumber_256 SquareNumber_8100 SquareNumber_841 SquareNumber_4
SquareNumber_2209 SquareNumber_7056 SquareNumber_289 SquareNumber_4096 SquareNumber_6241 SquareNumber_256 SquareNumber_1936 SquareNumber_3136 SquareNumber_2601 SquareNumber_1156
SquareNumber_2809 SquareNumber_1444 SquareNumber_7056 SquareNumber_361 SquareNumber_324 SquareNumber_4 SquareNumber_8281 SquareNumber_25 SquareNumber_2304 SquareNumber_100
SquareNumber_2601 SquareNumber_10000 SquareNumber_1296 SquareNumber_9604 SquareNumber_7921 SquareNumber_6889 SquareNumber_2401 SquareNumber_289 SquareNumber_2209 SquareNumber_484
SquareNumber_2401 SquareNumber_484 SquareNumber_6084 SquareNumber_841 SquareNumber_676 SquareNumber_36 SquareNumber_2916 SquareNumber_6724 SquareNumber_400 SquareNumber_6400
SquareNumber_121 SquareNumber_361 SquareNumber_784 SquareNumber_5776 SquareNumber_841 SquareNumber_1600 SquareNumber_5476 SquareNumber_8281 SquareNumber_4624 SquareNumber_1444
SquareNumber_529 SquareNumber_4096 SquareNumber_3025 SquareNumber_4761 SquareNumber_1024 SquareNumber_5625 SquareNumber_2304 SquareNumber_16 SquareNumber_361 SquareNumber_4356
SquareNumber_5184 SquareNumber_2809 SquareNumber_729 SquareNumber_9604 SquareNumber_2304 SquareNumber_676 SquareNumber_6400 SquareNumber_9604 SquareNumber_64 SquareNumber_100
SquareNumber_121 SquareNumber_2809 SquareNumber_900 SquareNumber_81 SquareNumber_961 SquareNumber_7744 SquareNumber_6084 SquareNumber_4624 SquareNumber_3136 SquareNumber_5184
SquareNumber_5476 SquareNumber_7225 SquareNumber_1681 SquareNumber_196 SquareNumber_8836 SquareNumber_4489 SquareNumber_961 SquareNumber_5929 SquareNumber_529 SquareNumber_9216
