part timbre interlude poetry bassline accompaniment songwriter monophony composer intonation
CubeNumber_512 CubeNumber_13824 CubeNumber_551368 CubeNumber_85184 CubeNumber_24389 CubeNumber_343 CubeNumber_857375 CubeNumber_238328 CubeNumber_64 CubeNumber_512000
CubeNumber_24389 CubeNumber_941192 CubeNumber_287496 CubeNumber_357911 CubeNumber_42875 CubeNumber_405224 CubeNumber_79507 CubeNumber_300763 CubeNumber_185193 CubeNumber_64
CubeNumber_373248 CubeNumber_681472 CubeNumber_125000 CubeNumber_29791 CubeNumber_2197 CubeNumber_175616 CubeNumber_29791 CubeNumber_85184 CubeNumber_64 CubeNumber_941192
CubeNumber_681472 CubeNumber_729 CubeNumber_9261 CubeNumber_704969 CubeNumber_571787 CubeNumber_551368 CubeNumber_421875 CubeNumber_343 CubeNumber_185193 CubeNumber_27
CubeNumber_54872 CubeNumber_19683 CubeNumber_27 CubeNumber_614125 CubeNumber_157464 CubeNumber_54872 CubeNumber_4913 CubeNumber_753571 CubeNumber_125 CubeNumber_79507
CubeNumber_493039 CubeNumber_804357 CubeNumber_35937 CubeNumber_59319 CubeNumber_456533 CubeNumber_343000 CubeNumber_1000 CubeNumber_357911 CubeNumber_373248 CubeNumber_357911
CubeNumber_125 CubeNumber_681472 CubeNumber_59319 CubeNumber_17576 CubeNumber_778688 CubeNumber_157464 CubeNumber_474552 CubeNumber_64000 CubeNumber_39304 CubeNumber_531441
DarkBlue Lime Indigo Azure Burlywood Linen MediumPurple LawnGreen Black LemonChiffon
DarkSalmon LightSlateBlue LightGoldenrod Maroon Ivory Khaki SlateBlue Chocolate Silver AntiqueWhite
Yellow Feldspar PaleVioletRed SkyBlue Pink SteelBlue Orchid OrangeRed PowderBlue Feldspar
MidnightBlue LightSalmon LightCoral Orchid Blue MediumSeaGreen Linen Silver Beige Ivory
Tan LightYellow LightGoldenrodYellow Linen OliveDrab Yellow Olive DarkGreen RosyBrown Gray
PaleTurquoise DarkOliveGreen AntiqueWhite LightGray DodgerBlue GreenYellow MediumOrchid Cornsilk Feldspar Violet
MediumBlue OliveDrab SkyBlue Honeydew DarkOliveGreen Olive Wheat GhostWhite Lavender BlanchedAlmond
LightSlateBlue DarkViolet Seashell Thistle MistyRose Lime Linen SpringGreen CornflowerBlue Navy
Turquoise LightGray Feldspar FloralWhite MediumTurquoise LightGoldenrodYellow IndianRed LightGray Olive LavenderBlush
HotPink DarkOrchid OliveDrab Purple DarkCyan LightSkyBlue Azure Gold IndianRed Thistle
Brown LightSeaGreen DarkGoldenrod SkyBlue Burlywood LightCyan LightGoldenrod SandyBrown DimGray Violet
Dresser Wardrobe Upholstery Tallboy Baroque Drapery Sofabed Sideboard Hassock Hutch
Drapes Bureau Cupboard Television Cabriole Recliner Seat Sconce Inlay Stool
Zitan Loveseat Valet Hokey Rug Shelf Regency Shelf Regency Daybed
Settee Fan Cupboard Tuffet Drapery Marquetry Tallboy Castor Table Light
Upholstery Tuffet Upholstery Lintel Cupboard Armchair Rack Upholstery Cradle Jardinière
Tansu Crib Bookcase Pantry Cushions Waterbed Settee Curtains Wardrobe Highchair
Armchair Buffet Throne Ottoman Chair Mattress Bookshelf Bookshelf cubbies Lintel
Pillow Etagère Bassinet Armchair Cot Divan Applique Shelf Mirror Headboards
Desk Fauteuil Footrest Desk Settee Wicker Clock Cart Marquetry Cabriole
Tuffet Wardrobe Hokey Shelf Headboard Tansu Wardrobe Console Curtains Cushion
Desk Throne Cushion Rug Cushion Headboards Castor Cushion Fan Tuffet
tender careful joyous motionless curious obnoxious mushy poor nice colorful
bloody ill nutty nutty muddy different nasty old-fashioned amused nutty
cloudy misty zealous stupid old-fashioned friendly uptight embarrassed embarrassed scary
successful cheerful pleasant enchanting concerned energetic drab perfect charming real
good silly nasty filthy ugliest homeless cute frightened fine tired
grumpy condemned careful old-fashioned defeated beautiful friendly proud wrong plain
outrageous happy vast quaint funny ill crazy combative blue horrible
famous cloudy cooperative homely good wicked foolish defiant awful defiant
awful cruel obnoxious itchy condemned sore upset ashamed worried witty
stormy helpless careful unsightly exuberant vivacious jealous embarrassed gentle bored
real wrong depressed prickly joyous cruel tame nice kind alive
deflect manipulate claim patronage collaboration deflect accusation coterie unethical demagogue
anonymity hypocrisy recrimination unethical tarnish hypocrisy patriarchy coterie mendacity massive
deflect anonymity mendacity tycoon mendacity mendacity blame unjust subterfuge patronage
conceal cadre engagement fray opportunist acolyte intimidation authoritarian patronage accusation
corruption feud resignation influence refute deception feud tycoon demagogue massive
massive covert anonymity beleaguer deny beleaguer alliance benefit privilege engagement
career defamation reckless onerous massive coterie endorsement deflect empire saga
endorsement deny retaliation refute integrity ignorant patriarchy claim parry denigrate
deficit expose extortion patriarchy resignation bamboozle onerous corruption reputation scandal
bamboozle proxy subterfuge solicit scandal scandal prestidigitation obscure impunity hypocrisy
deficit scapegoat bribe bamboozle infringement chicanery saga retaliation blame engagement
temperature__23c temperature__50c temperature__50c temperature__136c temperature__147c temperature__86c temperature__138c temperature__58c temperature__23c temperature__77c
temperature__34c temperature__70c temperature__24c temperature__91c temperature__16c temperature__46c temperature__3c temperature__136c temperature__108c temperature__132c
temperature__131c temperature__6c temperature__93c temperature__27c temperature__64c temperature__74c temperature__65c temperature__50c temperature__119c temperature__53c
temperature__12c temperature__105c temperature__73c temperature__58c temperature__57c temperature__137c temperature__54c temperature__139c temperature__142c temperature__138c
temperature__87c temperature__3c temperature__91c temperature__131c temperature__131c temperature__64c temperature__30c temperature__77c temperature__28c temperature__54c
temperature__4c temperature__84c temperature__138c temperature__22c temperature__78c temperature__70c temperature__36c temperature__146c temperature__74c temperature__79c
temperature__88c temperature__5c temperature__16c temperature__24c temperature__57c temperature__145c temperature__90c temperature__5c temperature__138c temperature__0c
temperature__57c temperature__59c temperature__84c temperature__11c temperature__146c temperature__4c temperature__61c temperature__39c temperature__132c temperature__141c
temperature__124c temperature__132c temperature__34c temperature__118c temperature__0c temperature__84c temperature__0c temperature__71c temperature__0c temperature__58c
temperature__74c temperature__144c temperature__39c temperature__71c temperature__21c temperature__34c temperature__140c temperature__120c temperature__137c temperature__148c
temperature__4c temperature__2c temperature__42c temperature__2c temperature__24c temperature__108c temperature__147c temperature__6c temperature__126c temperature__136c
BinaryNumber_0101100 BinaryNumber_0001111 BinaryNumber_0000101 BinaryNumber_0010001 BinaryNumber_1000111 BinaryNumber_0110110 BinaryNumber_1011001 BinaryNumber_0111100 BinaryNumber_0111111 BinaryNumber_1010000
BinaryNumber_0101000 BinaryNumber_0010000 BinaryNumber_1001010 BinaryNumber_0001111 BinaryNumber_0010000 BinaryNumber_0111011 BinaryNumber_0100001 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0010100
BinaryNumber_1100011 BinaryNumber_0111100 BinaryNumber_1100001 BinaryNumber_0100011 BinaryNumber_0011000 BinaryNumber_0011110 BinaryNumber_0111101 BinaryNumber_0001111 BinaryNumber_0000101 BinaryNumber_1011110
BinaryNumber_0010110 BinaryNumber_1100001 BinaryNumber_0111110 BinaryNumber_1000111 BinaryNumber_1010110 BinaryNumber_0010010 BinaryNumber_1011010 BinaryNumber_0110111 BinaryNumber_1011010 BinaryNumber_0011001
BinaryNumber_0010010 BinaryNumber_0001110 BinaryNumber_0000101 BinaryNumber_0111110 BinaryNumber_1011000 BinaryNumber_0101010 BinaryNumber_1001101 BinaryNumber_1011010 BinaryNumber_0101010 BinaryNumber_0001000
BinaryNumber_0101001 BinaryNumber_1011000 BinaryNumber_0011100 BinaryNumber_1001000 BinaryNumber_0001010 BinaryNumber_1001111 BinaryNumber_0100011 BinaryNumber_0101011 BinaryNumber_0001000 BinaryNumber_0101101
BinaryNumber_0001010 BinaryNumber_0011100 BinaryNumber_0111001 BinaryNumber_0110000 BinaryNumber_1010000 BinaryNumber_0111001 BinaryNumber_0110111 BinaryNumber_0110011 BinaryNumber_0011011 BinaryNumber_0111000
BinaryNumber_0111001 BinaryNumber_0000111 BinaryNumber_1001011 BinaryNumber_1001110 BinaryNumber_0001000 BinaryNumber_0101110 BinaryNumber_0100111 BinaryNumber_1011101 BinaryNumber_1000111 BinaryNumber_0011000
BinaryNumber_0110101 BinaryNumber_0111000 BinaryNumber_0000101 BinaryNumber_0101000 BinaryNumber_1001011 BinaryNumber_0111111 BinaryNumber_1000100 BinaryNumber_0001010 BinaryNumber_0100100 BinaryNumber_1100010
BinaryNumber_1011010 BinaryNumber_0000010 BinaryNumber_1001011 BinaryNumber_0111011 BinaryNumber_1000111 BinaryNumber_1001011 BinaryNumber_0111000 BinaryNumber_0111010 BinaryNumber_0010010 BinaryNumber_0011001
BinaryNumber_0001101 BinaryNumber_0111100 BinaryNumber_1100001 BinaryNumber_1001011 BinaryNumber_0010111 BinaryNumber_1100001 BinaryNumber_1000010 BinaryNumber_0000110 BinaryNumber_0011101 BinaryNumber_0101110
