puzzled grieving clumsy inquisitive crowded joyous bright proud brave pleasant
SquareNumber_196 SquareNumber_1089 SquareNumber_3136 SquareNumber_2304 SquareNumber_25 SquareNumber_361 SquareNumber_484 SquareNumber_729 SquareNumber_5776 SquareNumber_4900
SquareNumber_729 SquareNumber_7396 SquareNumber_361 SquareNumber_1156 SquareNumber_9 SquareNumber_3721 SquareNumber_9216 SquareNumber_4225 SquareNumber_4900 SquareNumber_3844
SquareNumber_16 SquareNumber_3249 SquareNumber_36 SquareNumber_4356 SquareNumber_1521 SquareNumber_6724 SquareNumber_676 SquareNumber_2601 SquareNumber_961 SquareNumber_225
SquareNumber_7225 SquareNumber_9025 SquareNumber_6400 SquareNumber_7056 SquareNumber_784 SquareNumber_9216 SquareNumber_2025 SquareNumber_484 SquareNumber_36 SquareNumber_361
SquareNumber_961 SquareNumber_4489 SquareNumber_7921 SquareNumber_961 SquareNumber_361 SquareNumber_4900 SquareNumber_9025 SquareNumber_1444 SquareNumber_8836 SquareNumber_7396
SquareNumber_1764 SquareNumber_6400 SquareNumber_324 SquareNumber_7569 SquareNumber_3600 SquareNumber_7744 SquareNumber_4624 SquareNumber_4489 SquareNumber_9025 SquareNumber_4624
SquareNumber_900 SquareNumber_9409 SquareNumber_9801 SquareNumber_676 SquareNumber_4489 SquareNumber_9604 SquareNumber_2401 SquareNumber_7056 SquareNumber_16 SquareNumber_3721
SquareNumber_10000 SquareNumber_9 SquareNumber_16 SquareNumber_529 SquareNumber_1089 SquareNumber_4225 SquareNumber_2209 SquareNumber_9 SquareNumber_1764 SquareNumber_1225
SquareNumber_9409 SquareNumber_64 SquareNumber_7921 SquareNumber_2401 SquareNumber_3136 SquareNumber_784 SquareNumber_1764 SquareNumber_2500 SquareNumber_169 SquareNumber_36
SquareNumber_8649 SquareNumber_324 SquareNumber_5041 SquareNumber_900 SquareNumber_2209 SquareNumber_484 SquareNumber_2916 SquareNumber_25 SquareNumber_16 SquareNumber_1024
