gleaming bright envious perfect horrible poised grieving creepy pleasant zany
BinaryNumber_0001101 BinaryNumber_0010001 BinaryNumber_1000011 BinaryNumber_0001001 BinaryNumber_1010111 BinaryNumber_0010101 BinaryNumber_0010011 BinaryNumber_0000110 BinaryNumber_1011001 BinaryNumber_0001111
BinaryNumber_1000111 BinaryNumber_1010011 BinaryNumber_1001011 BinaryNumber_0010110 BinaryNumber_1001110 BinaryNumber_0000000 BinaryNumber_1001101 BinaryNumber_0011000 BinaryNumber_0001100 BinaryNumber_1000111
BinaryNumber_0000101 BinaryNumber_0001100 BinaryNumber_0101010 BinaryNumber_1010001 BinaryNumber_0001011 BinaryNumber_0101110 BinaryNumber_1001110 BinaryNumber_0100011 BinaryNumber_0101100 BinaryNumber_0010011
BinaryNumber_0111011 BinaryNumber_1010000 BinaryNumber_0110110 BinaryNumber_1000010 BinaryNumber_1010100 BinaryNumber_0010111 BinaryNumber_1000010 BinaryNumber_1000111 BinaryNumber_1001111 BinaryNumber_0001101
CubeNumber_1000 CubeNumber_592704 CubeNumber_857375 CubeNumber_216000 CubeNumber_27 CubeNumber_884736 CubeNumber_551368 CubeNumber_50653 CubeNumber_636056 CubeNumber_59319
CubeNumber_456533 CubeNumber_39304 CubeNumber_4913 CubeNumber_140608 CubeNumber_804357 CubeNumber_857375 CubeNumber_5832 CubeNumber_571787 CubeNumber_27 CubeNumber_140608
CubeNumber_405224 CubeNumber_343000 CubeNumber_1331 CubeNumber_125 CubeNumber_8000 CubeNumber_636056 CubeNumber_132651 CubeNumber_912673 CubeNumber_238328 CubeNumber_729
CubeNumber_125000 CubeNumber_4913 CubeNumber_3375 CubeNumber_64000 CubeNumber_5832 CubeNumber_17576 CubeNumber_1728 CubeNumber_216 CubeNumber_68921 CubeNumber_6859
CubeNumber_32768 CubeNumber_205379 CubeNumber_1331 CubeNumber_551368 CubeNumber_857375 CubeNumber_125000 CubeNumber_421875 CubeNumber_157464 CubeNumber_2197 CubeNumber_12167
CubeNumber_166375 CubeNumber_314432 CubeNumber_729 CubeNumber_884736 CubeNumber_97336 CubeNumber_474552 CubeNumber_250047 CubeNumber_97336 CubeNumber_117649 CubeNumber_753571
CubeNumber_132651 CubeNumber_157464 CubeNumber_658503 CubeNumber_729000 CubeNumber_216000 CubeNumber_12167 CubeNumber_19683 CubeNumber_132651 CubeNumber_46656 CubeNumber_729
CubeNumber_68921 CubeNumber_4096 CubeNumber_681472 CubeNumber_857375 CubeNumber_912673 CubeNumber_64 CubeNumber_157464 CubeNumber_175616 CubeNumber_27000 CubeNumber_27
CubeNumber_50653 CubeNumber_175616 CubeNumber_493039 CubeNumber_54872 CubeNumber_314432 CubeNumber_250047 CubeNumber_166375 CubeNumber_592704 CubeNumber_438976 CubeNumber_343000
CubeNumber_830584 CubeNumber_389017 CubeNumber_24389 CubeNumber_103823 CubeNumber_681472 CubeNumber_64000 CubeNumber_42875 CubeNumber_54872 CubeNumber_238328 CubeNumber_185193
CubeNumber_157464 CubeNumber_85184 CubeNumber_35937 CubeNumber_8000 CubeNumber_456533 CubeNumber_287496 CubeNumber_216 CubeNumber_262144 CubeNumber_4096 CubeNumber_15625
