PowderBlue Green SteelBlue LightCoral Beige DarkBlue SandyBrown MediumSlateBlue DarkGoldenrod Chocolate
BinaryNumber_0101110 BinaryNumber_0010100 BinaryNumber_0110100 BinaryNumber_1001000 BinaryNumber_1011011 BinaryNumber_1010100 BinaryNumber_0100101 BinaryNumber_0000000 BinaryNumber_0100111 BinaryNumber_0000100
BinaryNumber_0110010 BinaryNumber_0111101 BinaryNumber_0111001 BinaryNumber_0111001 BinaryNumber_1100000 BinaryNumber_0110110 BinaryNumber_0001010 BinaryNumber_1001001 BinaryNumber_0010001 BinaryNumber_1011110
BinaryNumber_0010010 BinaryNumber_0110001 BinaryNumber_0001110 BinaryNumber_0101001 BinaryNumber_0011100 BinaryNumber_0011011 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_0100101 BinaryNumber_0010011
BinaryNumber_0101010 BinaryNumber_0000101 BinaryNumber_1000111 BinaryNumber_0010010 BinaryNumber_0101001 BinaryNumber_0100010 BinaryNumber_0000010 BinaryNumber_0101111 BinaryNumber_0111100 BinaryNumber_1010101
clumsy difficult unsightly plain delightful adorable tense odd puzzled cooperative
encouraging alive fancy beautiful cheerful filthy long frail gleaming defiant
vivacious cloudy ugly amused glorious lazy handsome shiny pleasant tough
glorious modern careful smiling grotesque famous good smoggy homeless confused
adorable dark expensive gleaming misty smiling angry itchy upset determined
difficult clever powerful troubled weary awful tired real important talented
grumpy talented clean wild stormy joyous alert wide-eyed nervous cheerful
joyous energetic worried blue-eyed courageous shy disgusted ill light funny
annoyed lazy sleepy horrible disgusted nutty important frightened bewildered fierce
frantic angry cloudy clean troubled helpless homeless tender nutty fantastic
nice hurt funny bad blushing horrible horrible cute determined nice
Plantain Cranberry Breadfruit Clementine Plumcot Currant Huckleberry Grapefruit Canistel Jujube
Mandarine Passionfruit Breadfruit Cantaloupe Orange Papaya Tamarillo Clementine Fig Apricot
Boysenberry Kiwifruit Honeydew Strawberry Blackberry Clementine Yuzu Cherry Cempedak Breadfruit
Jackfruit Mandarine Cashew Acerola Pear Mandarine Date Boysenberry Papaya Cloudberry
Lime Raisin Persimmon Canistel Prune Prune Honeydew Orange Ximenia Lime
Date Mango Sapodilla Rambutan  Tamarillo Avocado Avocado Coconut Ximenia Jostaberry
Pawpaw Acerola Abiu Tayberry Bilberry Nectarine Ackee Cloudberry Lulo Kiwano
Mulberry Cherry Prune Kiwifruit Pawpaw Araza Huckleberry Ximenia Ackee Nectarine
Akebi Grapefruit Cherimoya Passionfruit Prune Feijoa Pineberry Araza Satsuma Ackee
Pear Soursop Jambul Pomegranate Orange Rambutan  Jackfruit Pineberry Salak Kumquat
Feijoa Lychee Grapefruit Quince Grapefruit Tangelo Rambutan  Kumquat Durian Honeydew
22:59 21:10 19:55 12:59 19:30 12:19 11:53 16:22 18:51 11:52
14:22 14:46 14:17 12:51 10:43 22:54 11:11 23:20 18:39 15:17
15:48 13:18 16:21 23:49 19:54 23:54 22:25 16:57 10:16 15:32
18:23 20:37 23:49 10:24 13:51 12:10 17:43 19:40 10:57 10:44
14:33 15:37 12:10 19:57 19:18 21:46 19:14 12:48 16:32 14:49
11:16 18:53 12:37 17:17 21:12 14:26 19:26 17:14 19:29 16:36
13:45 22:53 21:28 14:46 16:33 19:44 14:11 10:29 17:27 18:37
22:48 16:50 17:22 17:12 14:49 17:21 21:14 11:22 21:24 15:52
21:24 21:24 17:30 10:49 19:54 11:41 19:40 13:30 16:47 16:24
13:19 16:43 23:24 22:50 11:52 23:10 14:28 13:28 18:50 11:25
18:35 10:45 20:46 23:50 13:40 20:35 13:15 19:41 10:45 15:27
