prickly lucky happy defiant lazy handsome friendly blue-eyed annoyed terrible
BinaryNumber_0001111 BinaryNumber_1011111 BinaryNumber_0010101 BinaryNumber_0100111 BinaryNumber_1010011 BinaryNumber_0001001 BinaryNumber_0101111 BinaryNumber_0110101 BinaryNumber_0110001 BinaryNumber_0000101
BinaryNumber_1010000 BinaryNumber_0010101 BinaryNumber_1100000 BinaryNumber_0101100 BinaryNumber_0010000 BinaryNumber_1010011 BinaryNumber_1001010 BinaryNumber_0010001 BinaryNumber_1011000 BinaryNumber_0100101
BinaryNumber_1011000 BinaryNumber_0011110 BinaryNumber_0010110 BinaryNumber_0111101 BinaryNumber_0010010 BinaryNumber_0011001 BinaryNumber_1010111 BinaryNumber_0010011 BinaryNumber_0101001 BinaryNumber_1011101
BinaryNumber_1000111 BinaryNumber_1001110 BinaryNumber_0001000 BinaryNumber_1010100 BinaryNumber_0010000 BinaryNumber_0111001 BinaryNumber_0011000 BinaryNumber_0000011 BinaryNumber_0110001 BinaryNumber_0010001
BinaryNumber_0101011 BinaryNumber_0101111 BinaryNumber_0110011 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_1011110 BinaryNumber_0010100 BinaryNumber_1000111 BinaryNumber_0001010 BinaryNumber_0111100
BinaryNumber_0100000 BinaryNumber_1011010 BinaryNumber_0101000 BinaryNumber_0000011 BinaryNumber_0001110 BinaryNumber_0000011 BinaryNumber_0000011 BinaryNumber_0101001 BinaryNumber_0110101 BinaryNumber_0011011
temperature__95c temperature__73c temperature__34c temperature__109c temperature__137c temperature__23c temperature__147c temperature__123c temperature__58c temperature__14c
temperature__119c temperature__0c temperature__6c temperature__131c temperature__136c temperature__111c temperature__78c temperature__0c temperature__44c temperature__57c
temperature__92c temperature__6c temperature__116c temperature__123c temperature__16c temperature__24c temperature__2c temperature__79c temperature__142c temperature__53c
temperature__141c temperature__71c temperature__93c temperature__10c temperature__61c temperature__116c temperature__11c temperature__63c temperature__8c temperature__85c
temperature__129c temperature__10c temperature__57c temperature__84c temperature__130c temperature__17c temperature__0c temperature__52c temperature__146c temperature__5c
temperature__57c temperature__106c temperature__23c temperature__73c temperature__12c temperature__146c temperature__95c temperature__69c temperature__111c temperature__130c
temperature__44c temperature__59c temperature__63c temperature__35c temperature__27c temperature__69c temperature__63c temperature__77c temperature__131c temperature__132c
temperature__78c temperature__123c temperature__64c temperature__100c temperature__26c temperature__137c temperature__27c temperature__44c temperature__148c temperature__138c
temperature__26c temperature__22c temperature__100c temperature__71c temperature__27c temperature__8c temperature__146c temperature__24c temperature__11c temperature__85c
temperature__108c temperature__68c temperature__111c temperature__16c temperature__136c temperature__126c temperature__41c temperature__3c temperature__5c temperature__58c
temperature__124c temperature__40c temperature__64c temperature__122c temperature__33c temperature__95c temperature__116c temperature__84c temperature__70c temperature__88c
20:49 16:53 17:16 21:40 17:40 13:53 10:51 13:12 15:37 18:48
19:42 18:47 13:48 19:44 16:59 10:45 22:38 13:12 14:27 16:24
13:35 18:54 12:26 18:31 11:46 23:19 11:38 20:17 22:56 15:42
13:13 14:18 20:53 15:17 22:34 12:41 10:32 12:46 19:45 18:50
17:11 19:23 12:35 17:12 18:21 11:51 21:19 23:35 14:28 21:55
17:36 12:43 22:54 18:39 11:23 20:33 14:30 15:10 15:22 11:48
14:12 21:29 19:20 15:36 16:35 10:23 17:53 15:53 14:38 15:38
12:52 17:56 22:17 16:54 11:55 21:21 14:30 19:31 14:59 16:22
20:21 12:17 12:51 12:17 15:45 15:38 20:48 10:45 20:42 13:32
20:40 21:50 16:17 22:10 18:57 16:11 16:53 19:12 22:14 20:43
14:13 18:17 18:51 21:47 12:46 12:12 21:22 11:46 20:50 16:59
Bilberry Acerola Cempedak Tangerine Lime Bilberry Durian Elderberry Lemon Apple
Salmonberry Mulberry Honeydew Papaya Blackcurrant Breadfruit Nectarine Lychee Kiwifruit Mango
Feijoa Rambutan  Jambul Salmonberry Grapefruit Lulo Satsuma Marionberry Avocado Jostaberry
Soursop Mangosteen Mandarine Tamarind Banana Cherry Feijoa Boysenberry Quince Açaí
Jostaberry Banana Cloudberry Pawpaw Fig Blackcurrant Pineberry Plumcot Clementine Apple
Yuzu Plantain Yuzu Feijoa Salmonberry Lychee Longan Fig Huckleberry Passionfruit
Watermelon Feijoa Passionfruit Grape Honeyberry Honeydew Raspberry Blackcurrant Tayberry Clementine
Watermelon Elderberry Plumcot Papaya Lychee Lulo Durian Blackcurrant Lime Cloudberry
Kumquat Date Lulo Avocado Tangelo Cantaloupe Pear Blackberry Grapefruit Abiu
Yuzu Jackfruit Lemon Loganberry Passionfruit Grapefruit Clementine Açaí Akebi Plum
Marionberry Tamarind Honeydew Satsuma Açaí Passionfruit Plumcot Tamarillo Pear Jackfruit
