Mouth Cerebellum Thalamus Hypothalamus Sensoryorgans Brain Nerves Scrotum Analcanal Largeintestine
RosyBrown BlueViolet DodgerBlue LightBlue LightGoldenrodYellow RoyalBlue DarkFuchsia Moccasin Tomato SeaGreen
Cyan DeepPink Bisque LightSteelBlue Ivory MediumSeaGreen MediumSlateBlue DarkSlateBlue Black DarkSalmon
Wheat Moccasin LightBlue Brown DarkRed Azure Navy DarkOrange LemonChiffon LightSteelBlue
Azure Olive LightSalmon Moccasin BlueViolet Firebrick LightSkyBlue LightCoral MediumPurple Fuchsia
Chocolate FloralWhite Thistle CornflowerBlue Orange Pink Orchid PapayaWhip DarkFuchsia PaleTurquoise
Thistle DarkOrange DarkRed ForestGreen Azure Aquamarine LightGreen DarkSalmon LightGoldenrod DeepPink
Lime SpringGreen Firebrick Goldenrod MediumAquamarine MediumSlateBlue Yellow Silver ForestGreen LightPink
Firebrick DarkRed MediumVioletRed HotPink WhiteSmoke MediumSpringGreen Brown SaddleBrown MediumPurple Ivory
temperature__42c temperature__33c temperature__52c temperature__53c temperature__40c temperature__77c temperature__6c temperature__7c temperature__6c temperature__93c
temperature__85c temperature__53c temperature__124c temperature__106c temperature__35c temperature__141c temperature__58c temperature__24c temperature__50c temperature__34c
temperature__8c temperature__116c temperature__24c temperature__118c temperature__116c temperature__51c temperature__95c temperature__84c temperature__41c temperature__130c
temperature__64c temperature__10c temperature__92c temperature__42c temperature__69c temperature__130c temperature__105c temperature__0c temperature__49c temperature__122c
temperature__35c temperature__85c temperature__53c temperature__130c temperature__78c temperature__90c temperature__91c temperature__41c temperature__22c temperature__116c
temperature__84c temperature__14c temperature__124c temperature__105c temperature__41c temperature__39c temperature__12c temperature__16c temperature__88c temperature__82c
temperature__64c temperature__119c temperature__137c temperature__39c temperature__79c temperature__50c temperature__10c temperature__24c temperature__52c temperature__88c
temperature__105c temperature__2c temperature__106c temperature__124c temperature__5c temperature__6c temperature__131c temperature__139c temperature__111c temperature__105c
temperature__65c temperature__33c temperature__70c temperature__105c temperature__50c temperature__50c temperature__77c temperature__16c temperature__142c temperature__6c
temperature__138c temperature__100c temperature__36c temperature__87c temperature__111c temperature__4c temperature__120c temperature__5c temperature__79c temperature__17c
temperature__130c temperature__40c temperature__50c temperature__49c temperature__142c temperature__3c temperature__47c temperature__7c temperature__105c temperature__61c
22:53 10:17 10:54 19:23 16:57 20:21 19:32 12:18 21:26 13:47
14:33 14:51 23:11 11:20 12:57 20:36 10:33 23:41 15:16 20:23
10:45 16:10 20:25 19:48 10:28 16:17 14:54 19:47 15:45 17:40
16:33 18:22 12:44 16:43 10:31 16:43 14:39 10:31 18:17 19:26
14:30 20:24 18:13 16:10 18:37 22:19 13:42 23:53 16:38 13:15
17:37 19:13 19:27 16:33 23:32 11:13 16:34 19:55 10:38 13:13
16:12 11:56 23:21 18:15 14:16 20:42 15:39 20:26 23:20 21:58
14:22 21:46 21:45 19:25 22:52 21:46 12:17 10:11 14:54 18:45
21:37 22:48 12:21 21:41 19:10 15:53 23:43 18:47 12:41 17:16
11:21 23:25 22:32 21:25 17:10 22:21 23:50 22:12 21:11 10:59
23:13 18:21 12:25 17:27 10:14 10:30 22:30 21:42 19:22 18:47
